timestamp_utc,media_name,media_type,model_id,runtime,artifact,latency_ms,detections,frames_processed,total_video_ms,top_detections,map50,map50_95,precision,recall,fps,p95_latency_ms
2026-04-12T00:00:00Z,IMG_7886.JPG,image,yolov8n,pytorch,yolov8n.pt,42.84,16,1,0.0,person:79.3%; cake:79.2%; person:75.3%; sports ball:64.5%; person:63.4%; person:52.0%,0.7282,0.827,0.9259,0.8091,11.87,158.73,
2026-04-13T03:59:23.400131+00:00,IMG_7886.JPG,image,yolov8n,pytorch,yolov8n.pt,74.35,11,1,0.0,person:79.3%; cake:79.2%; person:75.3%; sports ball:64.5%; person:63.4%; person:52.0%,0.7282,0.827,0.9259,0.8091,11.87,158.73,
2026-04-13T03:59:38.900333+00:00,IMG_7886.JPG,image,yolov8n,pytorch,yolov8n.pt,41.17,6,1,0.0,person:79.3%; cake:79.2%; person:75.3%; sports ball:64.5%; person:63.4%; person:52.0%,0.7282,0.827,0.9259,0.8091,11.87,158.73,
2026-04-13T04:00:11.001223+00:00,IMG_7775.mov,video,yolov8n,pytorch,yolov8n.pt,21.08,30,24,14331.67,person:30,0.7282,0.827,0.9259,0.8091,11.87,158.73,
2026-04-13T04:57:23.459324+00:00,IMG_7775.mov,video,yolov8n,pytorch,yolov8n.pt,22.22,30,24,14331.67,person:30,0.7282,0.827,0.9259,0.8091,11.87,158.73,
2026-04-13T05:00:55.922100+00:00,IMG_4401.JPG,image,yolov8s,onnx,yolov8s.onnx,236.02,0,1,0.0,,,,,,,,
2026-04-13T05:01:03.927900+00:00,IMG_4401.JPG,image,yolov8s,onnx,yolov8s.onnx,63.52,0,1,0.0,,,,,,,,
2026-04-13T05:01:30.011838+00:00,IMG_4401.JPG,image,yolov8s,onnx,yolov8s.onnx,71.45,7,1,0.0,book:45.9%; person:39.4%; handbag:36.8%; teddy bear:25.3%; sports ball:24.9%; book:23.8%,,,,,,,
2026-04-14T03:54:48.816921+00:00,IMG_4401.JPG,image,yolov8n,pytorch,yolov8n.pt,68.61,2,1,0.0,person:72.3%; sports ball:27.8%,0.7282,0.827,0.9259,0.8091,11.87,158.73,
2026-04-14T03:55:00.835584+00:00,IMG_4401.JPG,image,yolov8s,onnx,yolov8s.onnx,181.3,4,1,0.0,book:45.9%; person:39.4%; handbag:36.8%; teddy bear:25.3%,,,,,,,
2026-04-14T03:55:28.249043+00:00,IMG_3697.JPG,image,yolov8s,onnx,yolov8s.onnx,50.7,7,1,0.0,person:77.8%; person:76.6%; person:76.2%; person:70.5%; person:63.4%; bench:55.5%,,,,,,,
2026-04-14T03:55:41.655126+00:00,IMG_3697.JPG,image,yolov8s,torchscript,yolov8s.torchscript,176.23,7,1,0.0,person:79.2%; person:77.4%; person:76.4%; person:71.0%; person:62.7%; bench:55.2%,,,,,,,
2026-04-14T03:55:47.211915+00:00,IMG_3697.JPG,image,yolov8s,torchscript,yolov8s.torchscript,89.61,5,1,0.0,person:79.2%; person:77.4%; person:76.4%; person:71.0%; person:62.7%,,,,,,,
2026-04-14T03:55:52.680375+00:00,IMG_3697.JPG,image,yolov8s,torchscript,yolov8s.torchscript,61.14,7,1,0.0,person:79.2%; person:77.4%; person:76.4%; person:71.0%; person:62.7%; bench:55.2%,,,,,,,
2026-04-14T04:23:13.986404+00:00,IMG_4401.JPG,image,yolov8n,pytorch,yolov8n.pt,83.81,2,1,0.0,person:72.3%; sports ball:27.8%,0.7282,0.827,0.9259,0.8091,11.87,158.73,
2026-04-14T04:23:34.608883+00:00,IMG_7886.JPG,image,yolov8n,pytorch,yolov8n.pt,43.25,11,1,0.0,person:79.3%; cake:79.2%; person:75.3%; sports ball:64.5%; person:63.4%; person:52.0%,0.7282,0.827,0.9259,0.8091,11.87,158.73,
2026-04-14T04:23:44.991843+00:00,IMG_7885.WEBP,image,yolov8n,pytorch,yolov8n.pt,30.53,6,1,0.0,person:55.2%; person:36.8%; person:27.4%; person:26.5%; person:26.4%; person:26.3%,0.7282,0.827,0.9259,0.8091,11.87,158.73,
2026-04-14T04:24:00.765008+00:00,IMG_7885.WEBP,image,yolov8s,pytorch,yolov8s.pt,55.48,9,1,0.0,person:50.4%; person:45.6%; person:41.9%; person:37.9%; person:35.1%; person:34.2%,,,,,,,
2026-04-14T04:24:09.550654+00:00,IMG_7885.WEBP,image,yolov8s,onnx,yolov8s.onnx,75.57,9,1,0.0,person:50.4%; person:45.6%; person:41.9%; person:37.9%; person:35.1%; person:34.2%,,,,,,,
2026-04-14T04:24:13.795271+00:00,IMG_7885.WEBP,image,yolov8s,torchscript,yolov8s.torchscript,86.94,13,1,0.0,person:57.8%; person:51.1%; person:48.6%; person:45.6%; person:38.5%; person:38.4%
2026-04-14T04:24:19.126276+00:00,IMG_7885.WEBP,image,yolov8n,torchscript,yolov8n.torchscript,116.42,7,1,0.0,person:59.0%; person:43.3%; person:30.4%; person:30.1%; person:29.3%; person:27.7%
2026-04-14T04:24:23.606782+00:00,IMG_7885.WEBP,image,yolov8s,torchscript,yolov8s.torchscript,81.39,13,1,0.0,person:57.8%; person:51.1%; person:48.6%; person:45.6%; person:38.5%; person:38.4%
2026-04-14T04:24:49.124900+00:00,IMG_7775.mov,video,yolov8s,torchscript,yolov8s.torchscript,54.87,50,24,14331.67,person:50
